Crate Name,Quantity
Clutch Case,10
Dreams & Nightmares Case,11
Fracture Case,8
Revolution Case,1
Gamma Case,14
Snakebite Case,8
Prisma 2 Case,7
Recoil Case,4
Gamma 2 Case,32
★ M9 Bayonet | Rust Coat,1
Shadow Case,11
Spectrum Case,13
Revolver Case,6
Falchion Case,18
Chroma 3 Case,6
Operation Wildfire Case,9
Prisma Case,5
CS20 Case,2
Spectrum 2 Case,14
Chroma 2 Case,6
Danger Zone Case,2
Glove Case,5
Horizon Case,1
Operation Breakout Weapon Case,3
Operation Phoenix Weapon Case,9
Chroma Case,7
Huntsman Weapon Case,1
